Timestamp,Gate Voltage (V),Drain Voltage (V),Gate Current (A),Drain Current (A),Current Limit (A)
2025-04-23 17:19:38.151617,0.0,600.0,-8.258687e-10,7.505111e-09,0.001
2025-04-23 17:19:38.589750,0.0,600.0,-7.314364e-10,6.654731e-09,0.001
2025-04-23 17:19:39.033300,0.0,600.0,-1.016699e-09,8.190215e-09,0.001
2025-04-23 17:19:39.486309,0.0,600.0,-8.425834e-10,6.895836e-09,0.001
2025-04-23 17:19:39.930150,0.0,600.0,-6.134701e-09,1.18756e-08,0.001
2025-04-23 17:19:40.374138,0.0,600.0,-8.817922e-10,7.076028e-09,0.001
2025-04-23 17:19:40.802108,0.0,600.0,-9.062045e-10,6.532955e-09,0.001
2025-04-23 17:19:41.252361,0.0,600.0,-9.886655e-10,7.235518e-09,0.001
2025-04-23 17:19:41.692489,0.0,600.0,-9.400334e-10,6.60315e-09,0.001
2025-04-23 17:19:42.146727,0.0,600.0,-1.10403e-09,7.592071e-09,0.001
2025-04-23 17:19:42.590819,0.0,600.0,-9.688801e-10,6.787425e-09,0.001
2025-04-23 17:19:43.050822,0.0,600.0,-1.306138e-09,8.228028e-09,0.001
2025-04-23 17:19:43.536545,0.0,600.0,-9.815623e-10,7.061561e-09,0.001
2025-04-23 17:19:43.963039,0.0,600.0,-2.268643e-09,9.899006e-09,0.001
2025-04-23 17:19:44.408207,0.0,600.0,-1.067133e-09,7.114397e-09,0.001
2025-04-23 17:19:44.853819,0.0,600.0,-9.83272e-10,6.884218e-09,0.001
2025-04-23 17:19:45.295817,0.0,600.0,-1.125677e-09,7.213527e-09,0.001
2025-04-23 17:19:45.741747,0.0,600.0,-1.110528e-09,6.724529e-09,0.001
2025-04-23 17:19:46.183301,0.0,600.0,-1.001395e-09,6.60734e-09,0.001
2025-04-23 17:19:46.630481,0.0,600.0,-9.221148e-10,6.51251e-09,0.001
2025-04-23 17:19:47.068918,0.0,600.0,-1.14506e-09,7.914941e-09,0.001
2025-04-23 17:19:47.516933,0.0,600.0,-9.449177e-10,6.690203e-09,0.001
2025-04-23 17:19:47.946847,0.0,600.0,-6.454021e-09,1.033117e-08,0.001
2025-04-23 17:19:48.387081,0.0,600.0,-9.941968e-10,7.016066e-09,0.001
2025-04-23 17:19:48.827127,0.0,600.0,-9.847323e-10,6.811637e-09,0.001
2025-04-23 17:19:49.273632,0.0,600.0,-9.522148e-10,7.012979e-09,0.001
2025-04-23 17:19:49.721139,0.0,600.0,-9.424993e-10,6.719439e-09,0.001
2025-04-23 17:19:50.163692,0.0,600.0,-1.12014e-09,7.371062e-09,0.001
2025-04-23 17:19:50.608030,0.0,600.0,-9.816638e-10,6.805891e-09,0.001
2025-04-23 17:19:51.082389,0.0,600.0,-1.173499e-09,7.885299e-09,0.001
2025-04-23 17:19:51.525753,0.0,600.0,-9.773848e-10,6.879978e-09,0.001
2025-04-23 17:19:51.970971,0.0,600.0,-1.977084e-09,9.406169e-09,0.001
2025-04-23 17:19:52.426089,0.0,600.0,-1.065424e-09,6.800159e-09,0.001
2025-04-23 17:19:52.870587,0.0,600.0,-1.002552e-09,3.121043e-08,0.001
2025-04-23 17:19:53.314830,0.0,600.0,-1.046195e-09,7.046205e-09,0.001
2025-04-23 17:19:53.745511,0.0,600.0,-9.985768e-10,6.789874e-09,0.001
2025-04-23 17:19:54.184331,0.0,600.0,-1.192979e-09,7.32876e-09,0.001
2025-04-23 17:19:54.631874,0.0,600.0,-1.046447e-09,6.923874e-09,0.001
2025-04-23 17:19:55.078282,0.0,600.0,-1.231084e-09,7.978184e-09,0.001
2025-04-23 17:19:55.505183,0.0,600.0,-1.037285e-09,6.860768e-09,0.001
2025-04-23 17:19:55.932121,0.0,600.0,-3.934956e-09,1.085643e-08,0.001
2025-04-23 17:19:56.362890,0.0,600.0,-1.095122e-09,7.119377e-09,0.001
2025-04-23 17:19:56.790090,0.0,600.0,-1.028226e-09,6.619811e-09,0.001
2025-04-23 17:19:57.233520,0.0,600.0,-1.259776e-09,7.24011e-09,0.001
2025-04-23 17:19:57.681955,0.0,600.0,-1.096885e-09,6.86795e-09,0.001
2025-04-23 17:19:58.154755,0.0,600.0,-1.236118e-09,7.604386e-09,0.001
2025-04-23 17:19:58.599226,0.0,600.0,-1.110978e-09,6.84665e-09,0.001
2025-04-23 17:19:59.045819,0.0,600.0,-1.379932e-09,8.130909e-09,0.001
2025-04-23 17:19:59.487127,0.0,600.0,-1.076448e-09,6.663317e-09,0.001
2025-04-23 17:19:59.920449,0.0,600.0,-1.056968e-09,1.180767e-08,0.001
2025-04-23 17:20:00.352181,0.0,600.0,-1.174255e-09,6.911447e-09,0.001
2025-04-23 17:20:00.795455,0.0,600.0,-1.065877e-09,6.807185e-09,0.001
2025-04-23 17:20:01.222431,0.0,600.0,-1.111433e-09,7.34657e-09,0.001
2025-04-23 17:20:01.658065,0.0,600.0,-1.065172e-09,6.746123e-09,0.001
2025-04-23 17:20:02.100895,0.0,600.0,-1.283939e-09,7.723864e-09,0.001
2025-04-23 17:20:02.533963,0.0,600.0,-1.099049e-09,6.762291e-09,0.001
2025-04-23 17:20:02.984938,0.0,600.0,-1.781424e-09,8.568766e-09,0.001
2025-04-23 17:20:03.413214,0.0,600.0,-1.106449e-09,6.817166e-09,0.001
2025-04-23 17:20:03.857919,0.0,600.0,-1.021128e-09,6.565981e-09,0.001
2025-04-23 17:20:04.300922,0.0,600.0,-1.073227e-09,7.188069e-09,0.001
2025-04-23 17:20:04.744188,0.0,600.0,-1.105694e-09,6.513758e-09,0.001
2025-04-23 17:20:05.233141,0.0,600.0,-1.224944e-09,7.019004e-09,0.001
2025-04-23 17:20:05.665461,0.0,600.0,-1.10363e-09,6.606638e-09,0.001
2025-04-23 17:20:06.107898,0.0,600.0,-1.210144e-09,7.517926e-09,0.001
2025-04-23 17:20:06.550625,0.0,600.0,-1.100106e-09,6.464062e-09,0.001
2025-04-23 17:20:06.990316,0.0,600.0,-1.669022e-09,8.4616e-09,0.001
2025-04-23 17:20:07.412487,0.0,600.0,-1.147574e-09,6.788176e-09,0.001
2025-04-23 17:20:07.862043,0.0,600.0,-1.072471e-09,6.372771e-09,0.001
2025-04-23 17:20:08.291266,0.0,600.0,-1.159304e-09,6.75317e-09,0.001
2025-04-23 17:20:08.738463,0.0,600.0,-1.11098e-09,6.480778e-09,0.001
2025-04-23 17:20:09.176835,0.0,600.0,-1.293654e-09,7.213226e-09,0.001
2025-04-23 17:20:09.626377,0.0,600.0,-1.069451e-09,6.566383e-09,0.001
2025-04-23 17:20:10.070447,0.0,600.0,-1.479347e-09,7.862652e-09,0.001
2025-04-23 17:20:10.514300,0.0,600.0,-1.187593e-09,6.585287e-09,0.001
2025-04-23 17:20:10.960396,0.0,600.0,-1.317869e-09,7.427185e-09,0.001
2025-04-23 17:20:11.405447,0.0,600.0,-1.053242e-09,6.479927e-09,0.001
2025-04-23 17:20:11.890518,0.0,600.0,-1.002753e-09,1.771354e-08,0.001
2025-04-23 17:20:12.334453,0.0,600.0,-1.209942e-09,6.671493e-09,0.001
2025-04-23 17:20:12.784669,0.0,600.0,-1.080374e-09,6.473147e-09,0.001
2025-04-23 17:20:13.213443,0.0,600.0,-1.177576e-09,7.128512e-09,0.001
2025-04-23 17:20:13.652090,0.0,600.0,-1.01252e-09,6.42805e-09,0.001
2025-04-23 17:20:14.099399,0.0,600.0,-1.270399e-09,7.44494e-09,0.001
2025-04-23 17:20:14.543828,0.0,600.0,-1.064165e-09,6.662273e-09,0.001
2025-04-23 17:20:14.989106,0.0,600.0,-1.577356e-09,8.540174e-09,0.001
2025-04-23 17:20:15.431940,0.0,600.0,-1.122002e-09,6.547927e-09,0.001
2025-04-23 17:20:15.875405,0.0,600.0,-1.014936e-09,4.436385e-08,0.001
2025-04-23 17:20:16.320834,0.0,600.0,-1.137709e-09,6.778508e-09,0.001
2025-04-23 17:20:16.764622,0.0,600.0,-1.024651e-09,6.356054e-09,0.001
2025-04-23 17:20:17.209461,0.0,600.0,-1.146971e-09,6.765031e-09,0.001
2025-04-23 17:20:17.649503,0.0,600.0,-9.688267e-10,6.225648e-09,0.001
2025-04-23 17:20:18.100350,0.0,600.0,-1.119033e-09,7.198707e-09,0.001
2025-04-23 17:20:18.591260,0.0,600.0,-9.929384e-10,6.546626e-09,0.001
2025-04-23 17:20:19.034535,0.0,600.0,-1.41849e-09,7.680859e-09,0.001
2025-04-23 17:20:19.480364,0.0,600.0,-1.097389e-09,6.455333e-09,0.001
2025-04-23 17:20:19.920884,0.0,600.0,-1.020976e-09,1.084461e-08,0.001
2025-04-23 17:20:20.349504,0.0,600.0,-1.039953e-09,6.777961e-09,0.001
2025-04-23 17:20:20.795630,0.0,600.0,-9.730045e-10,6.163343e-09,0.001
2025-04-23 17:20:21.245073,0.0,600.0,-1.117774e-09,6.554813e-09,0.001
2025-04-23 17:20:21.684530,0.0,600.0,-1.009297e-09,6.431644e-09,0.001
2025-04-23 17:20:22.130664,0.0,600.0,-1.23627e-09,7.011679e-09,0.001
2025-04-23 17:20:22.553994,0.0,600.0,-1.067135e-09,6.323881e-09,0.001
2025-04-23 17:20:23.003583,0.0,600.0,-1.367147e-09,7.96312e-09,0.001
2025-04-23 17:20:23.432775,0.0,600.0,-1.09291e-09,6.546324e-09,0.001
2025-04-23 17:20:23.876553,0.0,600.0,-8.874299e-10,5.025806e-08,0.001
2025-04-23 17:20:24.318977,0.0,600.0,-1.099452e-09,6.61572e-09,0.001
2025-04-23 17:20:24.745683,0.0,600.0,-1.007285e-09,6.350526e-09,0.001
2025-04-23 17:20:25.225875,0.0,600.0,-1.157241e-09,6.843709e-09,0.001
2025-04-23 17:20:25.670850,0.0,600.0,-9.820648e-10,6.256929e-09,0.001
2025-04-23 17:20:26.108261,0.0,600.0,-1.20209e-09,6.978302e-09,0.001
2025-04-23 17:20:26.540978,0.0,600.0,-1.063411e-09,6.392722e-09,0.001
2025-04-23 17:20:26.966513,0.0,600.0,-2.291443e-09,8.844832e-09,0.001
2025-04-23 17:20:27.399211,0.0,600.0,-1.131919e-09,6.747627e-09,0.001
2025-04-23 17:20:27.826707,0.0,600.0,-1.139419e-09,6.436878e-09,0.001
2025-04-23 17:20:28.257101,0.0,600.0,-1.180295e-09,6.654085e-09,0.001
