Vgs(V),Vds(V),Id(A)
0.0,0.0,5.839663e-09
0.0,10.0,1.236443e-05
0.0,20.0,1.312955e-05
0.0,30.0,1.378365e-05
0.0,40.0,1.439601e-05
0.0,50.0,1.498106e-05
0.0,60.0,1.553881e-05
0.0,70.0,1.609363e-05
0.0,80.0,1.663837e-05
0.0,90.0,1.717885e-05
0.0,100.0,1.771526e-05
0.0,110.0,1.824686e-05
0.0,120.0,1.877912e-05
0.0,130.0,1.931102e-05
0.0,140.0,1.984314e-05
0.0,150.0,2.037523e-05
0.0,160.0,2.090962e-05
0.0,170.0,2.144543e-05
0.0,180.0,2.198085e-05
0.0,190.0,2.25197e-05
0.0,200.0,2.306233e-05
0.0,210.0,2.360979e-05
0.0,220.0,2.415954e-05
0.0,230.0,2.471333e-05
0.0,240.0,2.527276e-05
0.0,250.0,2.583468e-05
0.0,260.0,2.640363e-05
0.0,270.0,2.697461e-05
0.0,280.0,2.755091e-05
0.0,290.0,2.813193e-05
0.0,300.0,2.871798e-05
0.0,310.0,2.930875e-05
0.0,320.0,2.990442e-05
0.0,330.0,3.050494e-05
0.0,340.0,3.111143e-05
0.0,350.0,3.172306e-05
0.0,360.0,3.233854e-05
0.0,370.0,3.296409e-05
0.0,380.0,3.359393e-05
0.0,390.0,3.423207e-05
0.0,400.0,3.487398e-05
0.0,410.0,3.552586e-05
0.0,420.0,3.618155e-05
0.0,430.0,3.684468e-05
0.0,440.0,3.751334e-05
0.0,450.0,3.818894e-05
0.0,460.0,3.887166e-05
0.0,470.0,3.955979e-05
0.0,480.0,4.025847e-05
0.0,490.0,4.096009e-05
0.0,500.0,4.167038e-05
1.0,0.0,3.641509e-07
1.0,10.0,0.0009999647
1.0,20.0,0.00099996
1.0,30.0,0.0009999642
1.0,40.0,0.0009999656
1.0,50.0,0.0009999657
1.0,60.0,0.0009999654
1.0,70.0,0.0009999635
1.0,80.0,0.0009999659
1.0,90.0,0.0009999668
1.0,100.0,0.0009999609
1.0,110.0,0.000999964
1.0,120.0,0.0009999654
1.0,130.0,0.0009999658
1.0,140.0,0.0009999654
1.0,150.0,0.0009999637
1.0,160.0,0.0009999645
1.0,170.0,0.0009999633
1.0,180.0,0.0009999647
1.0,190.0,0.0009999633
1.0,200.0,0.0009999647
1.0,210.0,0.0009999651
1.0,220.0,0.0009999643
1.0,230.0,0.0009999648
1.0,240.0,0.0009999649
1.0,250.0,0.0009999601
1.0,260.0,0.0009999612
1.0,270.0,0.0009999615
1.0,280.0,0.0009999634
1.0,290.0,0.0009999588
1.0,300.0,0.0009999622
1.0,310.0,0.0009999633
1.0,320.0,0.0009999633
1.0,330.0,0.0009999643
1.0,340.0,0.0009999627
1.0,350.0,0.0009999628
1.0,360.0,0.0009999607
1.0,370.0,0.0009999607
1.0,380.0,0.00099996
1.0,390.0,0.0009999587
1.0,400.0,0.0009999622
1.0,410.0,0.0009999628
1.0,420.0,0.0009999626
1.0,430.0,0.0009999617
1.0,440.0,0.0009999607
1.0,450.0,0.0009999631
1.0,460.0,0.000999959
1.0,470.0,0.0009999633
1.0,480.0,0.0009999602
1.0,490.0,0.0009999603
1.0,500.0,0.000999962
