Vgs(V),Vds(V),Id(A)
0.0,0.0,1.910494e-10
0.0,1.0,2.546588e-10
0.0,2.0,2.215318e-10
0.0,3.0,1.939429e-10
0.0,4.0,1.676012e-10
0.0,5.0,5.142355e-10
0.0,6.0,2.24924e-10
0.0,7.0,2.463768e-10
0.0,8.0,2.862886e-10
0.0,9.0,3.292934e-10
0.0,10.0,4.40448e-10
1.0,0.0,-4.013526e-10
1.0,1.0,5.366308e-09
1.0,2.0,6.716485e-09
1.0,3.0,7.735793e-09
1.0,4.0,8.622531e-09
1.0,5.0,8.92482e-09
1.0,6.0,9.111456e-09
1.0,7.0,9.380954e-09
1.0,8.0,9.542882e-09
1.0,9.0,9.742708e-09
1.0,10.0,9.923279e-09
2.0,0.0,4.44128e-08
2.0,1.0,7.093047e-05
2.0,2.0,8.806303e-05
2.0,3.0,9.755554e-05
2.0,4.0,0.0001024657
2.0,5.0,0.0001055717
2.0,6.0,0.0001080898
2.0,7.0,0.0001098244
2.0,8.0,0.0001112094
2.0,9.0,0.0001123955
2.0,10.0,0.0001134068
3.0,0.0,1.465815e-06
3.0,1.0,0.004141112
3.0,2.0,0.005290781
3.0,3.0,0.005809882
3.0,4.0,0.006057801
3.0,5.0,0.006237137
3.0,6.0,0.00637947
3.0,7.0,0.006497079
3.0,8.0,0.00659523
3.0,9.0,0.006669367
3.0,10.0,0.006724858
4.0,0.0,1.049232e-05
4.0,1.0,0.03827547
4.0,2.0,0.05073444
4.0,3.0,0.05607716
4.0,4.0,0.05881512
4.0,5.0,0.06077697
4.0,6.0,0.06232042
4.0,7.0,0.063601
4.0,8.0,0.06471019
4.0,9.0,0.06568614
4.0,10.0,0.06655954
5.0,0.0,2.393067e-05
5.0,1.0,0.09999724
5.0,2.0,0.09999687
5.0,3.0,0.09999754
5.0,4.0,0.0999973
5.0,5.0,0.0999974
5.0,6.0,0.09999729
5.0,7.0,0.0999971
5.0,8.0,0.0999974
5.0,9.0,0.09999716
5.0,10.0,0.09999719
