Voltage (V), Current (A)
-3.000000000000000000e+00,-1.185592000000000024e-11
-2.899999999999999911e+00,-2.936891000000000193e-11
-2.799999999999999822e+00,-1.677457000000000089e-12
-2.699999999999999734e+00,3.561481000000000059e-12
-2.599999999999999645e+00,-1.654598999999999905e-11
-2.499999999999999556e+00,5.058310999999999852e-12
-2.399999999999999467e+00,-2.126499999999999875e-12
-2.299999999999999378e+00,6.056175999999999861e-12
-2.199999999999999289e+00,2.366893000000000020e-11
-2.099999999999999201e+00,1.007449000000000038e-10
-1.999999999999999112e+00,2.915653999999999887e-11
-1.899999999999999023e+00,1.765289000000000073e-12
-1.799999999999998934e+00,-3.166400999999999848e-11
-1.699999999999998845e+00,4.911148999999999958e-11
-1.599999999999998757e+00,2.686171999999999916e-11
-1.499999999999998668e+00,-5.815797999999999974e-11
-1.399999999999998579e+00,8.308478999999999821e-11
-1.299999999999998490e+00,1.330717000000000110e-10
-1.199999999999998401e+00,3.105226999999999729e-11
-1.099999999999998312e+00,-8.463081000000000499e-12
-9.999999999999982236e-01,-4.358879000000000091e-11
-8.999999999999981348e-01,1.018923000000000060e-10
-7.999999999999980460e-01,-5.910597000000000326e-11
-6.999999999999979572e-01,1.074798999999999940e-10
-5.999999999999978684e-01,8.772429000000000323e-11
-4.999999999999977796e-01,4.337443999999999870e-11
-3.999999999999976907e-01,-2.803868000000000004e-13
-2.999999999999976019e-01,-1.255437000000000035e-11
-1.999999999999975131e-01,5.360129000000000252e-11
-9.999999999999742428e-02,-2.053757999999999982e-11
2.664535259100375697e-15,-1.864149999999999968e-11
1.000000000000027534e-01,1.023912000000000026e-10
2.000000000000028422e-01,1.398943000000000050e-11
3.000000000000029310e-01,2.521542999999999972e-11
4.000000000000030198e-01,3.426233000000000198e-09
5.000000000000031086e-01,1.627019999999999967e-07
6.000000000000031974e-01,7.542975000000000401e-06
7.000000000000032863e-01,3.402392000000000068e-04
8.000000000000033751e-01,1.217178000000000010e-02
9.000000000000034639e-01,1.001762000000000069e-01
1.000000000000003553e+00,2.510511999999999744e-01
1.100000000000003197e+00,4.235002999999999962e-01
1.200000000000003730e+00,6.044827999999999868e-01
1.300000000000004263e+00,7.904630000000000267e-01
1.400000000000003908e+00,9.794918000000000236e-01
1.500000000000003553e+00,9.997939000000000132e-01
1.600000000000004086e+00,9.998013000000000039e-01
1.700000000000004619e+00,9.998135000000000217e-01
1.800000000000004263e+00,9.998143000000000447e-01
1.900000000000003908e+00,9.998261000000000509e-01
2.000000000000004441e+00,9.998339000000000532e-01
2.100000000000004974e+00,9.998310000000000253e-01
2.200000000000004619e+00,9.997063999999999950e-01
2.300000000000004263e+00,9.997074999999999712e-01
2.400000000000004796e+00,9.997108999999999579e-01
2.500000000000005329e+00,9.997059999999999835e-01
2.600000000000004974e+00,9.997162000000000548e-01
2.700000000000004619e+00,9.997120000000000450e-01
2.800000000000005151e+00,9.997080000000000410e-01
2.900000000000005684e+00,9.997131999999999685e-01
3.000000000000005329e+00,9.996966000000000463e-01
3.100000000000004974e+00,9.997047000000000017e-01
3.200000000000005507e+00,9.997057999999999778e-01
3.300000000000006040e+00,9.997051999999999605e-01
3.400000000000005684e+00,9.997040999999999844e-01
3.500000000000005329e+00,9.997047000000000017e-01
3.600000000000005862e+00,9.997074999999999712e-01
3.700000000000006395e+00,9.997177000000000424e-01
3.800000000000006040e+00,9.997196000000000415e-01
3.900000000000005684e+00,9.997169000000000194e-01
4.000000000000006217e+00,9.997224999999999584e-01
4.100000000000006750e+00,9.997150000000000203e-01
4.200000000000006395e+00,9.997194000000000358e-01
4.300000000000006040e+00,9.997087999999999530e-01
4.400000000000006573e+00,9.997106000000000048e-01
4.500000000000007105e+00,9.997196999999999889e-01
4.600000000000006750e+00,9.997133999999999743e-01
4.700000000000006395e+00,9.997135000000000327e-01
4.800000000000006928e+00,9.997196000000000415e-01
4.900000000000007461e+00,9.997224999999999584e-01
5.000000000000007105e+00,9.997118999999999867e-01
