Voltage (V), Current (A)
-3.000000000000000000e+00,-5.670213999999999875e-08
-2.899999999999999911e+00,-1.973042999999999957e-12
-2.799999999999999822e+00,-2.991972999999999776e-10
-2.699999999999999734e+00,3.345560999999999776e-10
-2.599999999999999645e+00,1.490516000000000108e-10
-2.499999999999999556e+00,-2.323046000000000076e-10
-2.399999999999999467e+00,1.220703000000000060e-09
-2.299999999999999378e+00,3.842079000000000128e-10
-2.199999999999999289e+00,-1.467921999999999948e-10
-2.099999999999999201e+00,-8.419276999999999980e-10
-1.999999999999999112e+00,6.503986000000000168e-10
-1.899999999999999023e+00,-5.860794000000000224e-10
-1.799999999999998934e+00,7.621153000000000018e-10
-1.699999999999998845e+00,1.317941000000000009e-09
-1.599999999999998757e+00,1.035377000000000022e-10
-1.499999999999998668e+00,-5.915956999999999778e-10
-1.399999999999998579e+00,-6.109049000000000418e-10
-1.299999999999998490e+00,1.200017000000000034e-09
-1.199999999999998401e+00,-1.170182999999999908e-09
-1.099999999999998312e+00,2.219948000000000160e-09
-9.999999999999982236e-01,7.738375000000000174e-10
-8.999999999999981348e-01,1.428453000000000041e-10
-7.999999999999980460e-01,-1.432237000000000087e-09
-6.999999999999979572e-01,6.331566999999999959e-10
-5.999999999999978684e-01,-2.712853999999999822e-09
-4.999999999999977796e-01,7.317705000000000012e-10
-3.999999999999976907e-01,1.366387000000000050e-10
-2.999999999999976019e-01,-1.612741999999999971e-10
-1.999999999999975131e-01,-2.736814999999999922e-10
-9.999999999999742428e-02,4.883388000000000218e-10
2.664535259100375697e-15,5.407488000000000507e-10
1.000000000000027534e-01,2.828354999999999897e-10
2.000000000000028422e-01,-1.440337000000000090e-10
3.000000000000029310e-01,1.686187000000000021e-09
4.000000000000030198e-01,3.183374999999999877e-08
5.000000000000031086e-01,4.155767000000000131e-07
6.000000000000031974e-01,5.799330000000000090e-06
7.000000000000032863e-01,2.282194999999999992e-04
8.000000000000033751e-01,1.051115000000000035e-02
9.000000000000034639e-01,2.000056999999999877e-02
1.000000000000003553e+00,2.000056000000000056e-02
1.100000000000003197e+00,2.000044000000000127e-02
1.200000000000003730e+00,2.000044000000000127e-02
1.300000000000004263e+00,2.000036999999999995e-02
1.400000000000003908e+00,2.000031999999999852e-02
1.500000000000003553e+00,2.000031999999999852e-02
1.600000000000004086e+00,2.000033999999999840e-02
1.700000000000004619e+00,2.000040999999999972e-02
1.800000000000004263e+00,2.000036999999999995e-02
1.900000000000003908e+00,2.000038999999999983e-02
2.000000000000004441e+00,2.000035999999999828e-02
2.100000000000004974e+00,2.000040999999999972e-02
2.200000000000004619e+00,2.000127999999999975e-02
2.300000000000004263e+00,2.000123999999999999e-02
2.400000000000004796e+00,2.000122999999999832e-02
2.500000000000005329e+00,2.000116999999999867e-02
2.600000000000004974e+00,2.000123999999999999e-02
2.700000000000004619e+00,2.000127999999999975e-02
2.800000000000005151e+00,2.000112999999999891e-02
2.900000000000005684e+00,2.000118999999999855e-02
3.000000000000005329e+00,2.000110000000000082e-02
3.100000000000004974e+00,2.000108000000000094e-02
3.200000000000005507e+00,2.000112000000000070e-02
3.300000000000006040e+00,2.000112000000000070e-02
3.400000000000005684e+00,2.000106000000000106e-02
3.500000000000005329e+00,2.000104000000000118e-02
3.600000000000005862e+00,2.000110000000000082e-02
3.700000000000006395e+00,2.000100000000000142e-02
3.800000000000006040e+00,2.000110000000000082e-02
3.900000000000005684e+00,2.000098999999999974e-02
4.000000000000006217e+00,2.000100999999999962e-02
4.100000000000006750e+00,2.000098999999999974e-02
4.200000000000006395e+00,2.000091999999999842e-02
4.300000000000006040e+00,2.000093999999999830e-02
4.400000000000006573e+00,2.000096000000000165e-02
4.500000000000007105e+00,2.000091999999999842e-02
4.600000000000006750e+00,2.000085999999999878e-02
4.700000000000006395e+00,2.000089000000000033e-02
4.800000000000006928e+00,2.000087000000000045e-02
4.900000000000007461e+00,2.000085000000000057e-02
5.000000000000007105e+00,2.000089999999999854e-02
