Voltage (V), Current (A)
-3.000000000000000000e+00,1.269215000000000060e-11
-2.899999999999999911e+00,-1.430082000000000005e-11
-2.799999999999999822e+00,-5.269890000000000277e-12
-2.699999999999999734e+00,-5.419568999999999926e-12
-2.599999999999999645e+00,2.214277000000000017e-12
-2.499999999999999556e+00,5.557227999999999795e-12
-2.399999999999999467e+00,-1.976788999999999929e-12
-2.299999999999999378e+00,1.084608000000000057e-11
-2.199999999999999289e+00,5.657016999999999946e-12
-2.099999999999999201e+00,1.418899000000000011e-11
-1.999999999999999112e+00,1.104564000000000018e-11
-1.899999999999999023e+00,2.112433999999999842e-11
-1.799999999999998934e+00,9.249438000000000679e-12
-1.699999999999998845e+00,1.573572999999999923e-11
-1.599999999999998757e+00,9.698521000000000332e-12
-1.499999999999998668e+00,5.457450000000000338e-12
-1.399999999999998579e+00,1.743214999999999858e-11
-1.299999999999998490e+00,2.237169999999999847e-11
-1.199999999999998401e+00,2.741049000000000067e-11
-1.099999999999998312e+00,1.104564999999999949e-11
-9.999999999999982236e-01,2.641273000000000150e-11
-8.999999999999981348e-01,1.718266999999999912e-11
-7.999999999999980460e-01,2.167318000000000156e-11
-6.999999999999979572e-01,2.292054000000000161e-11
-5.999999999999978684e-01,2.840824000000000053e-11
-4.999999999999977796e-01,2.082496999999999866e-11
-3.999999999999976907e-01,2.336959000000000160e-11
-2.999999999999976019e-01,2.242160000000000132e-11
-1.999999999999975131e-01,2.721092999999999945e-11
-9.999999999999742428e-02,1.034711000000000073e-11
2.664535259100375697e-15,2.741048000000000136e-11
1.000000000000027534e-01,2.581409000000000153e-11
2.000000000000028422e-01,3.080282999999999831e-11
3.000000000000029310e-01,1.053346999999999987e-10
4.000000000000030198e-01,3.415918000000000115e-09
5.000000000000031086e-01,1.593517000000000067e-07
6.000000000000031974e-01,7.417718000000000221e-06
7.000000000000032863e-01,3.358842999999999920e-04
8.000000000000033751e-01,1.197802000000000068e-02
9.000000000000034639e-01,9.688819999999999377e-02
1.000000000000003553e+00,2.410984999999999934e-01
1.100000000000003197e+00,4.056144999999999889e-01
1.200000000000003730e+00,5.782173999999999925e-01
1.300000000000004263e+00,7.555406000000000066e-01
1.400000000000003908e+00,9.356953999999999549e-01
1.500000000000003553e+00,9.998160000000000380e-01
1.600000000000004086e+00,9.998158999999999796e-01
1.700000000000004619e+00,9.998086000000000473e-01
1.800000000000004263e+00,9.998044000000000375e-01
1.900000000000003908e+00,9.998464000000000240e-01
2.000000000000004441e+00,9.998475000000000001e-01
2.100000000000004974e+00,9.998481000000000174e-01
2.200000000000004619e+00,9.997112999999999694e-01
2.300000000000004263e+00,9.997120000000000450e-01
2.400000000000004796e+00,9.997154000000000318e-01
2.500000000000005329e+00,9.997234000000000398e-01
2.600000000000004974e+00,9.997268999999999739e-01
2.700000000000004619e+00,9.997129000000000154e-01
2.800000000000005151e+00,9.997222999999999526e-01
2.900000000000005684e+00,9.997188000000000185e-01
3.000000000000005329e+00,9.997236999999999929e-01
3.100000000000004974e+00,9.997230999999999757e-01
3.200000000000005507e+00,9.997251000000000332e-01
3.300000000000006040e+00,9.997196999999999889e-01
3.400000000000005684e+00,9.997061000000000419e-01
3.500000000000005329e+00,9.997129999999999628e-01
3.600000000000005862e+00,9.997142999999999446e-01
3.700000000000006395e+00,9.997236999999999929e-01
3.800000000000006040e+00,9.997331000000000412e-01
3.900000000000005684e+00,9.997281000000000084e-01
4.000000000000006217e+00,9.997131999999999685e-01
4.100000000000006750e+00,9.997325999999999713e-01
4.200000000000006395e+00,9.997293999999999903e-01
4.300000000000006040e+00,9.997224999999999584e-01
4.400000000000006573e+00,9.997327999999999770e-01
4.500000000000007105e+00,9.997317999999999483e-01
4.600000000000006750e+00,9.997323000000000182e-01
4.700000000000006395e+00,9.997213000000000349e-01
4.800000000000006928e+00,9.997348999999999819e-01
4.900000000000007461e+00,9.997298000000000018e-01
5.000000000000007105e+00,9.997426000000000368e-01
