Voltage (V), Current (A)
-3.000000000000000000e+00,3.511572999999999864e-12
-2.899999999999999911e+00,-3.161414999999999934e-11
-2.799999999999999822e+00,-1.689525999999999843e-11
-2.699999999999999734e+00,-6.517209999999999853e-12
-2.599999999999999645e+00,-1.734419999999999954e-11
-2.499999999999999556e+00,-9.710444000000000664e-12
-2.399999999999999467e+00,-1.020940000000000050e-11
-2.299999999999999378e+00,1.119534000000000064e-11
-2.199999999999999289e+00,4.060418999999999604e-12
-2.099999999999999201e+00,-7.793210999999999840e-13
-1.999999999999999112e+00,-1.078691000000000094e-12
-1.899999999999999023e+00,5.208008999999999968e-12
-1.799999999999998934e+00,1.463807000000000126e-11
-1.699999999999998845e+00,2.137382000000000111e-11
-1.599999999999998757e+00,4.202748000000000178e-11
-1.499999999999998668e+00,6.976486000000000087e-11
-1.399999999999998579e+00,6.896665000000000037e-11
-1.299999999999998490e+00,4.631779999999999798e-11
-1.199999999999998401e+00,4.452185000000000017e-11
-1.099999999999998312e+00,2.267107000000000146e-11
-9.999999999999982236e-01,4.127916999999999767e-11
-8.999999999999981348e-01,3.150124999999999888e-11
-7.999999999999980460e-01,3.170081000000000010e-11
-6.999999999999979572e-01,2.007656000000000144e-11
-5.999999999999978684e-01,1.693321000000000151e-11
-4.999999999999977796e-01,1.164437000000000039e-11
-3.999999999999976907e-01,4.392322999999999883e-11
-2.999999999999976019e-01,2.596374999999999991e-11
-1.999999999999975131e-01,2.756013999999999973e-11
-9.999999999999742428e-02,1.398943000000000050e-11
2.664535259100375697e-15,1.199363000000000046e-11
1.000000000000027534e-01,8.999988999999999729e-12
2.000000000000028422e-01,1.857971999999999871e-11
3.000000000000029310e-01,9.894895000000000602e-11
4.000000000000030198e-01,3.492888000000000109e-09
5.000000000000031086e-01,1.623713999999999871e-07
6.000000000000031974e-01,7.515639999999999925e-06
7.000000000000032863e-01,3.385665000000000050e-04
8.000000000000033751e-01,1.207737000000000047e-02
9.000000000000034639e-01,9.892666999999999433e-02
1.000000000000003553e+00,2.474208999999999992e-01
1.100000000000003197e+00,4.170319000000000109e-01
1.200000000000003730e+00,5.952235000000000165e-01
1.300000000000004263e+00,7.782335999999999698e-01
1.400000000000003908e+00,9.642431000000000196e-01
1.500000000000003553e+00,9.997960999999999654e-01
1.600000000000004086e+00,9.997903000000000207e-01
1.700000000000004619e+00,9.998148000000000035e-01
1.800000000000004263e+00,9.998036000000000145e-01
1.900000000000003908e+00,9.998065000000000424e-01
2.000000000000004441e+00,9.998234999999999761e-01
2.100000000000004974e+00,9.998183999999999960e-01
2.200000000000004619e+00,9.997036000000000255e-01
2.300000000000004263e+00,9.997186000000000128e-01
2.400000000000004796e+00,9.997009999999999508e-01
2.500000000000005329e+00,9.997097999999999818e-01
2.600000000000004974e+00,9.997055999999999720e-01
2.700000000000004619e+00,9.997103999999999990e-01
2.800000000000005151e+00,9.997135000000000327e-01
2.900000000000005684e+00,9.997040999999999844e-01
3.000000000000005329e+00,9.997131000000000212e-01
3.100000000000004974e+00,9.996964000000000405e-01
3.200000000000005507e+00,9.997127000000000097e-01
3.300000000000006040e+00,9.997053000000000189e-01
3.400000000000005684e+00,9.997137000000000384e-01
3.500000000000005329e+00,9.997106999999999521e-01
3.600000000000005862e+00,9.997072999999999654e-01
3.700000000000006395e+00,9.997141000000000499e-01
3.800000000000006040e+00,9.997087000000000057e-01
3.900000000000005684e+00,9.997137000000000384e-01
4.000000000000006217e+00,9.997120000000000450e-01
4.100000000000006750e+00,9.997038999999999787e-01
4.200000000000006395e+00,9.997112999999999694e-01
4.300000000000006040e+00,9.997013000000000149e-01
4.400000000000006573e+00,9.997097000000000344e-01
4.500000000000007105e+00,9.997076000000000295e-01
4.600000000000006750e+00,9.997099000000000402e-01
4.700000000000006395e+00,9.997095999999999760e-01
4.800000000000006928e+00,9.997198999999999947e-01
4.900000000000007461e+00,9.997070000000000123e-01
5.000000000000007105e+00,9.997097000000000344e-01
