Voltage (V), Current (A)
-3.000000000000000000e+00,9.698476000000000204e-12
-2.899999999999999911e+00,-1.968938999999999876e-11
-2.799999999999999822e+00,-6.068211999999999993e-12
-2.699999999999999734e+00,-3.074506000000000107e-12
-2.599999999999999645e+00,-3.872854999999999657e-12
-2.499999999999999556e+00,1.064648000000000049e-11
-2.399999999999999467e+00,2.463782999999999944e-12
-2.299999999999999378e+00,1.039701000000000035e-11
-2.199999999999999289e+00,1.234287999999999961e-11
-2.099999999999999201e+00,3.212196000000000099e-12
-1.999999999999999112e+00,5.677681000000000271e-13
-1.899999999999999023e+00,1.154458999999999978e-11
-1.799999999999998934e+00,8.351321000000000579e-12
-1.699999999999998845e+00,1.803087999999999880e-11
-1.599999999999998757e+00,1.877928999999999924e-11
-1.499999999999998668e+00,1.942793000000000161e-11
-1.399999999999998579e+00,2.571431000000000092e-11
-1.299999999999998490e+00,2.346938000000000152e-11
-1.199999999999998401e+00,3.135159000000000051e-11
-1.099999999999998312e+00,1.503720999999999909e-11
-9.999999999999982236e-01,2.132392000000000149e-11
-8.999999999999981348e-01,9.099716999999999403e-12
-7.999999999999980460e-01,3.010440999999999774e-11
-6.999999999999979572e-01,1.508709999999999940e-11
-5.999999999999978684e-01,3.224954999999999722e-11
-4.999999999999977796e-01,2.915653999999999887e-11
-3.999999999999976907e-01,3.234933999999999714e-11
-2.999999999999976019e-01,4.197763000000000195e-11
-1.999999999999975131e-01,3.624056000000000244e-11
-9.999999999999742428e-02,2.830845999999999992e-11
2.664535259100375697e-15,2.995474000000000005e-11
1.000000000000027534e-01,2.366893000000000020e-11
2.000000000000028422e-01,3.334709000000000023e-11
3.000000000000029310e-01,1.320244000000000068e-10
4.000000000000030198e-01,3.670339999999999963e-09
5.000000000000031086e-01,1.670186999999999919e-07
6.000000000000031974e-01,7.750694000000000436e-06
7.000000000000032863e-01,3.511534000000000183e-04
8.000000000000033751e-01,1.243505999999999952e-02
9.000000000000034639e-01,9.853784000000000154e-02
1.000000000000003553e+00,2.433179000000000036e-01
1.100000000000003197e+00,4.081869000000000192e-01
1.200000000000003730e+00,5.811001999999999557e-01
1.300000000000004263e+00,7.586190000000000433e-01
1.400000000000003908e+00,9.388554999999999540e-01
1.500000000000003553e+00,9.997934000000000543e-01
1.600000000000004086e+00,9.998173999999999673e-01
1.700000000000004619e+00,9.998089999999999478e-01
1.800000000000004263e+00,9.998127999999999460e-01
1.900000000000003908e+00,9.998221000000000469e-01
2.000000000000004441e+00,9.998306999999999611e-01
2.100000000000004974e+00,9.998299000000000492e-01
2.200000000000004619e+00,9.997084000000000525e-01
2.300000000000004263e+00,9.996966999999999937e-01
2.400000000000004796e+00,9.996992000000000100e-01
2.500000000000005329e+00,9.997184999999999544e-01
2.600000000000004974e+00,9.997131000000000212e-01
2.700000000000004619e+00,9.997066999999999481e-01
2.800000000000005151e+00,9.997167999999999610e-01
2.900000000000005684e+00,9.997137000000000384e-01
3.000000000000005329e+00,9.997044999999999959e-01
3.100000000000004974e+00,9.997015999999999680e-01
3.200000000000005507e+00,9.997200000000000530e-01
3.300000000000006040e+00,9.997188000000000185e-01
3.400000000000005684e+00,9.997165000000000079e-01
3.500000000000005329e+00,9.997122000000000508e-01
3.600000000000005862e+00,9.997072999999999654e-01
3.700000000000006395e+00,9.997063000000000477e-01
3.800000000000006040e+00,9.997146000000000088e-01
3.900000000000005684e+00,9.997264000000000150e-01
4.000000000000006217e+00,9.997144999999999504e-01
4.100000000000006750e+00,9.997112999999999694e-01
4.200000000000006395e+00,9.997255999999999920e-01
4.300000000000006040e+00,9.997203999999999535e-01
4.400000000000006573e+00,9.997276000000000495e-01
4.500000000000007105e+00,9.997230999999999757e-01
4.600000000000006750e+00,9.997241000000000044e-01
4.700000000000006395e+00,9.997274000000000438e-01
4.800000000000006928e+00,9.997304999999999664e-01
4.900000000000007461e+00,9.997310000000000363e-01
5.000000000000007105e+00,9.997289999999999788e-01
