Voltage (V), Current (A)
-3.000000000000000000e+00,-7.509006999999999524e-08
-2.899999999999999911e+00,-2.847152999999999753e-10
-2.799999999999999822e+00,-1.585157999999999915e-10
-2.699999999999999734e+00,-2.378215000000000250e-10
-2.599999999999999645e+00,-2.571308999999999976e-10
-2.499999999999999556e+00,-4.398788000000000155e-10
-2.399999999999999467e+00,-3.040246000000000194e-10
-2.299999999999999378e+00,-2.323046000000000076e-10
-2.199999999999999289e+00,-1.998927000000000019e-10
-2.099999999999999201e+00,-2.571317999999999743e-10
-1.999999999999999112e+00,-2.626487000000000176e-10
-1.899999999999999023e+00,-2.854060999999999974e-10
-1.799999999999998934e+00,-3.481611999999999847e-10
-1.699999999999998845e+00,-3.060945000000000125e-10
-1.599999999999998757e+00,-2.550626999999999778e-10
-1.499999999999998668e+00,-3.157488999999999807e-10
-1.399999999999998579e+00,-2.150648000000000099e-10
-1.299999999999998490e+00,-1.440341999999999874e-10
-1.199999999999998401e+00,-1.288626000000000095e-10
-1.099999999999998312e+00,-9.231294000000000631e-11
-9.999999999999982236e-01,-5.024628999999999834e-11
-8.999999999999981348e-01,-6.748668000000000057e-11
-7.999999999999980460e-01,-8.265819000000000405e-11
-6.999999999999979572e-01,-5.576316999999999775e-11
-5.999999999999978684e-01,-1.233455000000000059e-10
-4.999999999999977796e-01,-9.024390999999999851e-11
-3.999999999999976907e-01,-3.645385999999999953e-11
-2.999999999999976019e-01,-2.662671999999999946e-12
-1.999999999999975131e-01,4.561042000000000146e-11
-9.999999999999742428e-02,-1.019673000000000031e-10
2.664535259100375697e-15,-1.847209999999999921e-10
1.000000000000027534e-01,-2.123055000000000017e-10
2.000000000000028422e-01,-1.192074999999999991e-10
3.000000000000029310e-01,-3.645375000000000065e-11
4.000000000000030198e-01,1.897205999999999869e-09
5.000000000000031086e-01,9.100269999999999471e-08
6.000000000000031974e-01,4.534054000000000347e-06
7.000000000000032863e-01,2.267937000000000035e-04
8.000000000000033751e-01,1.057220000000000035e-02
9.000000000000034639e-01,2.000060999999999853e-02
1.000000000000003553e+00,2.000054999999999888e-02
1.100000000000003197e+00,2.000046000000000115e-02
1.200000000000003730e+00,2.000046999999999936e-02
1.300000000000004263e+00,2.000042000000000139e-02
1.400000000000003908e+00,2.000036999999999995e-02
1.500000000000003553e+00,2.000040000000000151e-02
1.600000000000004086e+00,2.000040000000000151e-02
1.700000000000004619e+00,2.000044999999999948e-02
1.800000000000004263e+00,2.000038999999999983e-02
1.900000000000003908e+00,2.000038000000000163e-02
2.000000000000004441e+00,2.000036999999999995e-02
2.100000000000004974e+00,2.000046999999999936e-02
2.200000000000004619e+00,2.000129999999999963e-02
2.300000000000004263e+00,2.000127999999999975e-02
2.400000000000004796e+00,2.000123999999999999e-02
2.500000000000005329e+00,2.000125000000000167e-02
2.600000000000004974e+00,2.000129000000000143e-02
2.700000000000004619e+00,2.000125999999999987e-02
2.800000000000005151e+00,2.000120000000000023e-02
2.900000000000005684e+00,2.000123999999999999e-02
3.000000000000005329e+00,2.000114999999999879e-02
3.100000000000004974e+00,2.000108000000000094e-02
3.200000000000005507e+00,2.000112000000000070e-02
3.300000000000006040e+00,2.000116999999999867e-02
3.400000000000005684e+00,2.000108000000000094e-02
3.500000000000005329e+00,2.000106000000000106e-02
3.600000000000005862e+00,2.000108999999999915e-02
3.700000000000006395e+00,2.000098999999999974e-02
3.800000000000006040e+00,2.000110000000000082e-02
3.900000000000005684e+00,2.000098000000000154e-02
4.000000000000006217e+00,2.000100999999999962e-02
4.100000000000006750e+00,2.000098000000000154e-02
4.200000000000006395e+00,2.000093000000000010e-02
4.300000000000006040e+00,2.000098000000000154e-02
4.400000000000006573e+00,2.000098999999999974e-02
4.500000000000007105e+00,2.000098000000000154e-02
4.600000000000006750e+00,2.000089000000000033e-02
4.700000000000006395e+00,2.000093999999999830e-02
4.800000000000006928e+00,2.000091999999999842e-02
4.900000000000007461e+00,2.000089000000000033e-02
5.000000000000007105e+00,2.000093999999999830e-02
