Voltage (V), Current (A)
-3.000000000000000000e+00,-3.623347999999999961e-12
-2.899999999999999911e+00,-2.427965000000000065e-11
-2.799999999999999822e+00,-2.343134000000000141e-11
-2.699999999999999734e+00,-1.819245999999999900e-11
-2.599999999999999645e+00,-1.474981000000000094e-11
-2.499999999999999556e+00,-1.220518000000000030e-11
-2.399999999999999467e+00,-1.055868000000000081e-11
-2.299999999999999378e+00,3.183112999999999767e-13
-2.199999999999999289e+00,-1.128652999999999957e-12
-2.099999999999999201e+00,-4.870691999999999659e-12
-1.999999999999999112e+00,2.563591999999999928e-12
-1.899999999999999023e+00,-5.718887000000000368e-12
-1.799999999999998934e+00,7.253679999999999845e-12
-1.699999999999998845e+00,1.124522999999999933e-11
-1.599999999999998757e+00,1.284186000000000037e-11
-1.499999999999998668e+00,1.543635999999999947e-11
-1.399999999999998579e+00,9.299350999999999722e-12
-1.299999999999998490e+00,1.877929999999999855e-11
-1.199999999999998401e+00,2.277086000000000138e-11
-1.099999999999998312e+00,2.875745000000000082e-11
-9.999999999999982236e-01,1.383973999999999935e-11
-8.999999999999981348e-01,2.880732999999999858e-11
-7.999999999999980460e-01,1.867950999999999863e-11
-6.999999999999979572e-01,1.598522000000000123e-11
-5.999999999999978684e-01,1.763172999999999842e-11
-4.999999999999977796e-01,2.761003000000000004e-11
-3.999999999999976907e-01,2.466667000000000075e-11
-2.999999999999976019e-01,1.957762000000000115e-11
-1.999999999999975131e-01,1.872941000000000147e-11
-9.999999999999742428e-02,2.621317999999999958e-11
2.664535259100375697e-15,1.428880000000000026e-11
1.000000000000027534e-01,1.703298999999999889e-11
2.000000000000028422e-01,4.152861000000000312e-11
3.000000000000029310e-01,1.041870000000000043e-10
4.000000000000030198e-01,3.580040999999999880e-09
5.000000000000031086e-01,1.662975000000000106e-07
6.000000000000031974e-01,7.709803999999999545e-06
7.000000000000032863e-01,3.476641999999999840e-04
8.000000000000033751e-01,1.231967999999999952e-02
9.000000000000034639e-01,9.897053000000000100e-02
1.000000000000003553e+00,2.457609000000000044e-01
1.100000000000003197e+00,4.131014000000000075e-01
1.200000000000003730e+00,5.886185000000000445e-01
1.300000000000004263e+00,7.690110000000000001e-01
1.400000000000003908e+00,9.522855000000000070e-01
1.500000000000003553e+00,9.997983999999999760e-01
1.600000000000004086e+00,9.998137000000000274e-01
1.700000000000004619e+00,9.998173000000000199e-01
1.800000000000004263e+00,9.998148000000000035e-01
1.900000000000003908e+00,9.998226999999999531e-01
2.000000000000004441e+00,9.998405000000000209e-01
2.100000000000004974e+00,9.998447999999999780e-01
2.200000000000004619e+00,9.997082999999999942e-01
2.300000000000004263e+00,9.997038999999999787e-01
2.400000000000004796e+00,9.997051999999999605e-01
2.500000000000005329e+00,9.997101999999999933e-01
2.600000000000004974e+00,9.997222999999999526e-01
2.700000000000004619e+00,9.997112999999999694e-01
2.800000000000005151e+00,9.997066000000000008e-01
2.900000000000005684e+00,9.997205999999999593e-01
3.000000000000005329e+00,9.997116000000000335e-01
3.100000000000004974e+00,9.997165000000000079e-01
3.200000000000005507e+00,9.997082999999999942e-01
3.300000000000006040e+00,9.997055999999999720e-01
3.400000000000005684e+00,9.997139999999999915e-01
3.500000000000005329e+00,9.997144000000000030e-01
3.600000000000005862e+00,9.997192999999999774e-01
3.700000000000006395e+00,9.997127000000000097e-01
3.800000000000006040e+00,9.997163999999999495e-01
3.900000000000005684e+00,9.997207999999999650e-01
4.000000000000006217e+00,9.997167999999999610e-01
4.100000000000006750e+00,9.997133000000000269e-01
4.200000000000006395e+00,9.997181000000000539e-01
4.300000000000006040e+00,9.997127000000000097e-01
4.400000000000006573e+00,9.997192999999999774e-01
4.500000000000007105e+00,9.997179999999999955e-01
4.600000000000006750e+00,9.997120000000000450e-01
4.700000000000006395e+00,9.997268999999999739e-01
4.800000000000006928e+00,9.997141000000000499e-01
4.900000000000007461e+00,9.997289999999999788e-01
5.000000000000007105e+00,9.997114999999999752e-01
