Voltage (V), Current (A)
-3.000000000000000000e+00,-3.878868999999999791e-08
-2.899999999999999911e+00,-9.369186999999999546e-11
-2.799999999999999822e+00,-1.626534000000000000e-10
-2.699999999999999734e+00,-2.955762000000000184e-11
-2.599999999999999645e+00,-1.162765000000000004e-11
-2.499999999999999556e+00,1.871542999999999955e-11
-2.399999999999999467e+00,-1.162762999999999980e-11
-2.299999999999999378e+00,-1.300684000000000034e-11
-2.199999999999999289e+00,-7.645150000000000478e-11
-2.099999999999999201e+00,-3.852293999999999741e-11
-1.999999999999999112e+00,-1.852399000000000052e-11
-1.899999999999999023e+00,-7.645188999999999727e-11
-1.799999999999998934e+00,-6.472838999999999375e-11
-1.699999999999998845e+00,-9.024414999999999488e-11
-1.599999999999998757e+00,-2.542014000000000118e-11
-1.499999999999998668e+00,-1.283528999999999912e-12
-1.399999999999998579e+00,2.974924000000000138e-11
-1.299999999999998490e+00,6.991882999999999602e-12
-1.199999999999998401e+00,6.285066000000000111e-11
-1.099999999999998312e+00,-7.921011999999999530e-11
-9.999999999999982236e-01,-2.886812999999999929e-11
-8.999999999999981348e-01,-5.990084999999999431e-11
-7.999999999999980460e-01,2.147386999999999925e-11
-6.999999999999979572e-01,-2.473040999999999903e-11
-5.999999999999978684e-01,-2.335115999999999963e-11
-4.999999999999977796e-01,-3.507461999999999944e-11
-3.999999999999976907e-01,1.475045999999999973e-12
-2.999999999999976019e-01,9.580184000000000268e-14
-1.999999999999975131e-01,-2.662643999999999938e-12
-9.999999999999742428e-02,2.009466999999999964e-11
2.664535259100375697e-15,-3.990184000000000156e-11
1.000000000000027534e-01,-8.179537000000000390e-12
2.000000000000028422e-01,-3.507452999999999918e-11
3.000000000000029310e-01,6.836745999999999957e-11
4.000000000000030198e-01,1.818590000000000024e-09
5.000000000000031086e-01,9.008069999999999479e-08
6.000000000000031974e-01,4.539146000000000298e-06
7.000000000000032863e-01,2.271600999999999937e-04
8.000000000000033751e-01,1.059459999999999916e-02
9.000000000000034639e-01,2.000054999999999888e-02
1.000000000000003553e+00,2.000044999999999948e-02
1.100000000000003197e+00,2.000042000000000139e-02
1.200000000000003730e+00,2.000044000000000127e-02
1.300000000000004263e+00,2.000035000000000007e-02
1.400000000000003908e+00,2.000029999999999863e-02
1.500000000000003553e+00,2.000031999999999852e-02
1.600000000000004086e+00,2.000033000000000019e-02
1.700000000000004619e+00,2.000042999999999960e-02
1.800000000000004263e+00,2.000035999999999828e-02
1.900000000000003908e+00,2.000035999999999828e-02
2.000000000000004441e+00,2.000036999999999995e-02
2.100000000000004974e+00,2.000042999999999960e-02
2.200000000000004619e+00,2.000125999999999987e-02
2.300000000000004263e+00,2.000122000000000011e-02
2.400000000000004796e+00,2.000122999999999832e-02
2.500000000000005329e+00,2.000122999999999832e-02
2.600000000000004974e+00,2.000118999999999855e-02
2.700000000000004619e+00,2.000125000000000167e-02
2.800000000000005151e+00,2.000114999999999879e-02
2.900000000000005684e+00,2.000116000000000047e-02
3.000000000000005329e+00,2.000110999999999903e-02
3.100000000000004974e+00,2.000110000000000082e-02
3.200000000000005507e+00,2.000110999999999903e-02
3.300000000000006040e+00,2.000110999999999903e-02
3.400000000000005684e+00,2.000106999999999927e-02
3.500000000000005329e+00,2.000104999999999938e-02
3.600000000000005862e+00,2.000108999999999915e-02
3.700000000000006395e+00,2.000098999999999974e-02
3.800000000000006040e+00,2.000104999999999938e-02
3.900000000000005684e+00,2.000100000000000142e-02
4.000000000000006217e+00,2.000102999999999950e-02
4.100000000000006750e+00,2.000098000000000154e-02
4.200000000000006395e+00,2.000089999999999854e-02
4.300000000000006040e+00,2.000096999999999986e-02
4.400000000000006573e+00,2.000096999999999986e-02
4.500000000000007105e+00,2.000091000000000022e-02
4.600000000000006750e+00,2.000089000000000033e-02
4.700000000000006395e+00,2.000089999999999854e-02
4.800000000000006928e+00,2.000089999999999854e-02
4.900000000000007461e+00,2.000085999999999878e-02
5.000000000000007105e+00,2.000089999999999854e-02
