Voltage (V), Current (A)
0.000000000000000000e+00,4.769409000000000068e-09
1.000000000000000056e-01,1.102777000000000068e-09
2.000000000000000111e-01,-5.771102000000000489e-10
3.000000000000000444e-01,-8.143369000000000482e-10
4.000000000000000222e-01,-7.372557000000000311e-09
5.000000000000000000e-01,6.350383000000000279e-08
6.000000000000000888e-01,-1.068339000000000068e-08
7.000000000000000666e-01,2.419422999999999866e-08
8.000000000000000444e-01,-1.030876000000000029e-09
9.000000000000000222e-01,2.328206000000000139e-09
1.000000000000000000e+00,4.844576999999999699e-09
1.100000000000000089e+00,2.505209000000000050e-08
1.200000000000000178e+00,3.381233999999999948e-09
1.300000000000000044e+00,3.834995000000000156e-09
1.400000000000000133e+00,-1.528086000000000011e-09
1.500000000000000000e+00,-1.093630000000000079e-09
1.600000000000000089e+00,-2.054087999999999969e-10
1.700000000000000178e+00,8.627934000000000245e-10
1.800000000000000044e+00,-7.895110000000000047e-10
1.900000000000000133e+00,5.731587000000000134e-10
2.000000000000000000e+00,2.614570000000000206e-10
2.100000000000000089e+00,-6.295207999999999588e-10
2.200000000000000178e+00,5.986741999999999549e-10
2.300000000000000266e+00,-1.778241000000000012e-10
2.400000000000000355e+00,-4.081548000000000121e-10
2.500000000000000000e+00,1.787042999999999885e-10
2.600000000000000089e+00,6.974660999999999941e-11
2.700000000000000178e+00,-4.447043999999999807e-10
2.800000000000000266e+00,1.262943000000000113e-10
2.900000000000000355e+00,-6.646911000000000478e-10
3.000000000000000000e+00,1.055193000000000080e-09
3.100000000000000089e+00,3.090399000000000197e-10
3.200000000000000178e+00,-2.660947000000000076e-10
3.300000000000000266e+00,-5.798685000000000227e-10
3.400000000000000355e+00,-7.039990999999999704e-10
3.500000000000000000e+00,-7.026195999999999753e-10
3.600000000000000089e+00,1.499988999999999999e-09
3.700000000000000178e+00,1.629635000000000029e-09
3.800000000000000266e+00,-1.283257999999999983e-12
3.900000000000000355e+00,-7.198600999999999635e-10
4.000000000000000000e+00,-1.953577999999999972e-09
4.100000000000000533e+00,1.876691999999999872e-10
4.200000000000000178e+00,-1.352925000000000061e-09
4.299999999999999822e+00,3.911540000000000329e-09
4.400000000000000355e+00,1.375860000000000044e-09
4.500000000000000000e+00,-7.212392000000000378e-10
4.600000000000000533e+00,-1.190176000000000089e-09
4.700000000000000178e+00,-1.079147999999999922e-09
4.800000000000000711e+00,3.593810000000000125e-10
4.900000000000000355e+00,-8.860567999999999506e-10
5.000000000000000000e+00,1.799967000000000015e-09
