Voltage (V), Current (A)
-3.000000000000000000e+00,6.675423999999999728e-13
-2.899999999999999911e+00,-2.966837000000000195e-11
-2.799999999999999822e+00,7.902268999999999435e-12
-2.699999999999999734e+00,-2.825023000000000129e-12
-2.599999999999999645e+00,-6.267861000000000085e-12
-2.499999999999999556e+00,-2.338162999999999839e-11
-2.399999999999999467e+00,-1.477916999999999911e-12
-2.299999999999999378e+00,-6.666879000000000192e-12
-2.199999999999999289e+00,5.756806000000000098e-12
-2.099999999999999201e+00,-9.291162000000000108e-13
-1.999999999999999112e+00,-3.723147000000000231e-12
-1.899999999999999023e+00,1.768160999999999942e-11
-1.799999999999998934e+00,4.559387999999999676e-12
-1.699999999999998845e+00,9.199542000000000141e-12
-1.599999999999998757e+00,-1.307425999999999926e-13
-1.499999999999998668e+00,2.810891000000000124e-11
-1.399999999999998579e+00,7.153857000000000261e-12
-1.299999999999998490e+00,1.179405999999999993e-11
-1.199999999999998401e+00,1.019743000000000050e-11
-1.099999999999998312e+00,2.556464999999999932e-11
-9.999999999999982236e-01,2.092475999999999858e-11
-8.999999999999981348e-01,1.099574000000000056e-11
-7.999999999999980460e-01,3.639023000000000013e-11
-6.999999999999979572e-01,3.070305999999999701e-11
-5.999999999999978684e-01,3.399563000000000304e-11
-4.999999999999977796e-01,7.021393999999999556e-11
-3.999999999999976907e-01,8.707589999999999654e-11
-2.999999999999976019e-01,2.606353000000000052e-11
-1.999999999999975131e-01,-4.378848999999999894e-11
-9.999999999999742428e-02,-4.518552999999999921e-11
2.664535259100375697e-15,-1.524890000000000059e-11
1.000000000000027534e-01,2.850800999999999860e-11
2.000000000000028422e-01,4.701628000000000088e-11
3.000000000000029310e-01,1.252398000000000125e-10
4.000000000000030198e-01,3.078977999999999829e-09
5.000000000000031086e-01,1.434359999999999882e-07
6.000000000000031974e-01,6.703111999999999732e-06
7.000000000000032863e-01,3.049063000000000185e-04
8.000000000000033751e-01,1.105842999999999930e-02
9.000000000000034639e-01,9.265315999999999830e-02
1.000000000000003553e+00,2.334640000000000049e-01
1.100000000000003197e+00,3.946026999999999729e-01
1.200000000000003730e+00,5.637075999999999754e-01
1.300000000000004263e+00,7.374252999999999503e-01
1.400000000000003908e+00,9.138410999999999618e-01
1.500000000000003553e+00,9.998059999999999725e-01
1.600000000000004086e+00,9.998204000000000535e-01
1.700000000000004619e+00,9.998129000000000044e-01
1.800000000000004263e+00,9.998211999999999655e-01
1.900000000000003908e+00,9.998437000000000019e-01
2.000000000000004441e+00,9.998489999999999878e-01
2.100000000000004974e+00,9.998453000000000479e-01
2.200000000000004619e+00,9.997131999999999685e-01
2.300000000000004263e+00,9.997245999999999633e-01
2.400000000000004796e+00,9.997158000000000433e-01
2.500000000000005329e+00,9.997139999999999915e-01
2.600000000000004974e+00,9.997156000000000375e-01
2.700000000000004619e+00,9.997129999999999628e-01
2.800000000000005151e+00,9.997314000000000478e-01
2.900000000000005684e+00,9.997120000000000450e-01
3.000000000000005329e+00,9.997247999999999690e-01
3.100000000000004974e+00,9.997200000000000530e-01
3.200000000000005507e+00,9.997211999999999765e-01
3.300000000000006040e+00,9.997158999999999907e-01
3.400000000000005684e+00,9.997205999999999593e-01
3.500000000000005329e+00,9.997266000000000208e-01
3.600000000000005862e+00,9.997316000000000535e-01
3.700000000000006395e+00,9.997190000000000243e-01
3.800000000000006040e+00,9.997291999999999845e-01
3.900000000000005684e+00,9.997279000000000027e-01
4.000000000000006217e+00,9.997274999999999912e-01
4.100000000000006750e+00,9.997205000000000119e-01
4.200000000000006395e+00,9.997184999999999544e-01
4.300000000000006040e+00,9.997361999999999638e-01
4.400000000000006573e+00,9.997274000000000438e-01
4.500000000000007105e+00,9.997306000000000248e-01
4.600000000000006750e+00,9.997319999999999540e-01
4.700000000000006395e+00,9.997426000000000368e-01
4.800000000000006928e+00,9.997316000000000535e-01
4.900000000000007461e+00,9.997289999999999788e-01
5.000000000000007105e+00,9.997211999999999765e-01
