Voltage (V), Current (A)
-3.000000000000000000e+00,2.820868999999999862e-11
-2.899999999999999911e+00,-1.664585000000000061e-11
-2.799999999999999822e+00,2.813074000000000136e-12
-2.699999999999999734e+00,1.803087999999999880e-11
-2.599999999999999645e+00,1.369004000000000050e-11
-2.499999999999999556e+00,-2.126546999999999946e-12
-2.399999999999999467e+00,-2.575661999999999895e-12
-2.299999999999999378e+00,2.481633999999999844e-11
-2.199999999999999289e+00,5.108170999999999803e-12
-2.099999999999999201e+00,3.661236000000000375e-12
-1.999999999999999112e+00,1.383973000000000004e-11
-1.899999999999999023e+00,2.531521999999999964e-11
-1.799999999999998934e+00,6.355587999999999636e-12
-1.699999999999998845e+00,2.237169999999999847e-11
-1.599999999999998757e+00,2.386847999999999888e-11
-1.499999999999998668e+00,2.870756000000000051e-11
-1.399999999999998579e+00,3.135159000000000051e-11
-1.299999999999998490e+00,2.566442999999999993e-11
-1.199999999999998401e+00,2.656239999999999918e-11
-1.099999999999998312e+00,4.207739999999999679e-11
-9.999999999999982236e-01,3.449450000000000170e-11
-8.999999999999981348e-01,2.526532999999999934e-11
-7.999999999999980460e-01,2.721093999999999876e-11
-6.999999999999979572e-01,2.761003000000000004e-11
-5.999999999999978684e-01,3.933358999999999941e-11
-4.999999999999977796e-01,2.396825000000000018e-11
-3.999999999999976907e-01,3.185047999999999779e-11
-2.999999999999976019e-01,3.454438999999999878e-11
-1.999999999999975131e-01,3.200012999999999685e-11
-9.999999999999742428e-02,2.616329999999999859e-11
2.664535259100375697e-15,4.222706000000000162e-11
1.000000000000027534e-01,3.404552000000000012e-11
2.000000000000028422e-01,3.080283999999999762e-11
3.000000000000029310e-01,8.892177000000000229e-11
4.000000000000030198e-01,3.081122999999999928e-09
5.000000000000031086e-01,1.435967000000000089e-07
6.000000000000031974e-01,6.709041000000000128e-06
7.000000000000032863e-01,3.051678999999999958e-04
8.000000000000033751e-01,1.109013000000000013e-02
9.000000000000034639e-01,9.342361000000000415e-02
1.000000000000003553e+00,2.358636000000000066e-01
1.100000000000003197e+00,3.989342000000000166e-01
1.200000000000003730e+00,5.701028999999999680e-01
1.300000000000004263e+00,7.459900999999999893e-01
1.400000000000003908e+00,9.245927000000000451e-01
1.500000000000003553e+00,9.998177000000000314e-01
1.600000000000004086e+00,9.998238999999999876e-01
1.700000000000004619e+00,9.998192000000000190e-01
1.800000000000004263e+00,9.998306999999999611e-01
1.900000000000003908e+00,9.998350000000000293e-01
2.000000000000004441e+00,9.998610999999999471e-01
2.100000000000004974e+00,9.998418000000000028e-01
2.200000000000004619e+00,9.997184000000000070e-01
2.300000000000004263e+00,9.997040000000000370e-01
2.400000000000004796e+00,9.997165000000000079e-01
2.500000000000005329e+00,9.997224999999999584e-01
2.600000000000004974e+00,9.997219999999999995e-01
2.700000000000004619e+00,9.997127000000000097e-01
2.800000000000005151e+00,9.997129999999999628e-01
2.900000000000005684e+00,9.997224999999999584e-01
3.000000000000005329e+00,9.997209999999999708e-01
3.100000000000004974e+00,9.997245999999999633e-01
3.200000000000005507e+00,9.997120000000000450e-01
3.300000000000006040e+00,9.997129999999999628e-01
3.400000000000005684e+00,9.997158000000000433e-01
3.500000000000005329e+00,9.997190999999999717e-01
3.600000000000005862e+00,9.997163999999999495e-01
3.700000000000006395e+00,9.997203000000000062e-01
3.800000000000006040e+00,9.997308999999999779e-01
3.900000000000005684e+00,9.997314000000000478e-01
4.000000000000006217e+00,9.997293000000000429e-01
4.100000000000006750e+00,9.997348999999999819e-01
4.200000000000006395e+00,9.997312000000000420e-01
4.300000000000006040e+00,9.997357000000000049e-01
4.400000000000006573e+00,9.997215000000000407e-01
4.500000000000007105e+00,9.997194000000000358e-01
4.600000000000006750e+00,9.997279000000000027e-01
4.700000000000006395e+00,9.997399999999999620e-01
4.800000000000006928e+00,9.997312000000000420e-01
4.900000000000007461e+00,9.997144999999999504e-01
5.000000000000007105e+00,9.997308000000000305e-01
