Voltage (V), Current (A)
-3.000000000000000000e+00,-3.074492000000000103e-12
-2.899999999999999911e+00,-1.400142000000000074e-11
-2.799999999999999822e+00,-2.013841000000000082e-11
-2.699999999999999734e+00,-1.365217999999999929e-11
-2.599999999999999645e+00,-1.020943999999999936e-11
-2.499999999999999556e+00,6.754721999999999660e-12
-2.399999999999999467e+00,1.914943999999999802e-12
-2.299999999999999378e+00,2.164420000000000182e-12
-2.199999999999999289e+00,-8.085025999999999491e-14
-2.099999999999999201e+00,-4.300848000000000154e-13
-1.999999999999999112e+00,-7.294546999999999735e-13
-1.899999999999999023e+00,2.062538999999999881e-11
-1.799999999999998934e+00,1.438857999999999926e-11
-1.699999999999998845e+00,1.987698000000000160e-11
-1.599999999999998757e+00,7.553036000000000412e-12
-1.499999999999998668e+00,1.443848000000000049e-11
-1.399999999999998579e+00,2.007654999999999890e-11
-1.299999999999998490e+00,-6.167986000000000371e-12
-1.199999999999998401e+00,1.279194999999999983e-11
-1.099999999999998312e+00,9.449007000000000634e-12
-9.999999999999982236e-01,2.626306999999999989e-11
-8.999999999999981348e-01,2.845812000000000153e-11
-7.999999999999980460e-01,2.895699000000000019e-11
-6.999999999999979572e-01,2.566442000000000062e-11
-5.999999999999978684e-01,1.538646999999999916e-11
-4.999999999999977796e-01,2.167318000000000156e-11
-3.999999999999976907e-01,2.157338999999999841e-11
-2.999999999999976019e-01,1.902876999999999870e-11
-1.999999999999975131e-01,1.498731999999999879e-11
-9.999999999999742428e-02,1.314120999999999990e-11
2.664535259100375697e-15,2.546486999999999871e-11
1.000000000000027534e-01,2.172306999999999864e-11
2.000000000000028422e-01,2.157338999999999841e-11
3.000000000000029310e-01,9.386046999999999941e-11
4.000000000000030198e-01,3.028340999999999810e-09
5.000000000000031086e-01,1.437563000000000099e-07
6.000000000000031974e-01,6.801576999999999813e-06
7.000000000000032863e-01,3.133400000000000052e-04
8.000000000000033751e-01,1.152508000000000005e-02
9.000000000000034639e-01,9.724014000000000268e-02
1.000000000000003553e+00,2.451911999999999980e-01
1.100000000000003197e+00,4.143640000000000101e-01
1.200000000000003730e+00,5.919721000000000011e-01
1.300000000000004263e+00,7.744826999999999684e-01
1.400000000000003908e+00,9.593593000000000259e-01
1.500000000000003553e+00,9.997947999999999835e-01
1.600000000000004086e+00,9.998084999999999889e-01
1.700000000000004619e+00,9.998118999999999756e-01
1.800000000000004263e+00,9.998177999999999788e-01
1.900000000000003908e+00,9.998268999999999629e-01
2.000000000000004441e+00,9.998247999999999580e-01
2.100000000000004974e+00,9.998472000000000470e-01
2.200000000000004619e+00,9.997112999999999694e-01
2.300000000000004263e+00,9.997095999999999760e-01
2.400000000000004796e+00,9.997167999999999610e-01
2.500000000000005329e+00,9.997131000000000212e-01
2.600000000000004974e+00,9.997112000000000220e-01
2.700000000000004619e+00,9.997194000000000358e-01
2.800000000000005151e+00,9.997152999999999734e-01
2.900000000000005684e+00,9.997247000000000217e-01
3.000000000000005329e+00,9.997072999999999654e-01
3.100000000000004974e+00,9.997023999999999910e-01
3.200000000000005507e+00,9.997091000000000172e-01
3.300000000000006040e+00,9.997266000000000208e-01
3.400000000000005684e+00,9.997163999999999495e-01
3.500000000000005329e+00,9.997148999999999619e-01
3.600000000000005862e+00,9.997247999999999690e-01
3.700000000000006395e+00,9.997093000000000229e-01
3.800000000000006040e+00,9.997198999999999947e-01
3.900000000000005684e+00,9.997156999999999849e-01
4.000000000000006217e+00,9.997142999999999446e-01
4.100000000000006750e+00,9.997270999999999797e-01
4.200000000000006395e+00,9.997255999999999920e-01
4.300000000000006040e+00,9.997025000000000494e-01
4.400000000000006573e+00,9.997264999999999624e-01
4.500000000000007105e+00,9.997357000000000049e-01
4.600000000000006750e+00,9.997241000000000044e-01
4.700000000000006395e+00,9.997253000000000389e-01
4.800000000000006928e+00,9.997238999999999987e-01
4.900000000000007461e+00,9.997325999999999713e-01
5.000000000000007105e+00,9.997342999999999646e-01
