Timestamp,Source Voltage (V),Current Limit (A),Current (A)
2025-02-06 18:51:45.796790,0.0,0.001,-6.571152e-10
2025-02-06 18:51:46.008378,0.0,0.001,-6.819417e-10
2025-02-06 18:51:46.228696,0.0,0.001,-6.550464e-10
2025-02-06 18:51:46.431345,0.0,0.001,-6.343575e-10
2025-02-06 18:51:46.637963,0.0,0.001,-6.667696e-10
2025-02-06 18:51:46.828339,0.0,0.001,-6.853894e-10
2025-02-06 18:51:47.041334,0.0,0.001,-5.978075e-10
2025-02-06 18:51:47.245385,0.0,0.001,-6.757349e-10
2025-02-06 18:51:47.447645,0.0,0.001,-6.419433e-10
