Vgs(V),Vds(V),Id(A)
0.0,0.0,1.148166e-10
0.0,0.5,1.410084e-10
0.0,1.0,1.541291e-10
0.0,1.5,2.02472e-10
0.0,2.0,3.748399e-10
0.0,2.5,4.646402e-10
0.0,3.0,4.278716e-10
0.0,3.5,4.114083e-10
0.0,4.0,4.357542e-10
0.0,4.5,4.510201e-10
0.0,5.0,4.032762e-10
0.0,5.5,3.95144e-10
0.0,6.0,4.31364e-10
0.0,6.5,4.167463e-10
0.0,7.0,3.783311e-10
0.0,7.5,2.597947e-10
0.0,8.0,3.941464e-10
0.0,8.5,4.451834e-10
0.0,9.0,4.139526e-10
0.0,9.5,3.986859e-10
0.0,10.0,3.87711e-10
1.0,0.0,-6.885479e-07
1.0,0.5,-1.73871e-10
1.0,1.0,2.945608e-11
1.0,1.5,2.292052e-11
1.0,2.0,8.752701e-11
1.0,2.5,3.983373e-10
1.0,3.0,5.387754e-10
1.0,3.5,5.297951e-10
1.0,4.0,5.253553e-10
1.0,4.5,5.413687e-10
1.0,5.0,5.038032e-10
1.0,5.5,4.776113e-10
1.0,6.0,5.36432e-10
1.0,6.5,4.990638e-10
1.0,7.0,4.919294e-10
1.0,7.5,4.927277e-10
1.0,8.0,5.007598e-10
1.0,8.5,4.791069e-10
1.0,9.0,4.797564e-10
1.0,9.5,4.443848e-10
1.0,10.0,2.770064e-10
2.0,0.0,-1.004985e-06
2.0,0.5,6.892882e-08
2.0,1.0,6.923708e-08
2.0,1.5,6.933098e-08
2.0,2.0,7.106357e-08
2.0,2.5,7.025902e-08
2.0,3.0,7.08697e-08
2.0,3.5,7.084339e-08
2.0,4.0,7.059953e-08
2.0,4.5,7.076746e-08
2.0,5.0,7.08886e-08
2.0,5.5,7.128988e-08
2.0,6.0,7.030301e-08
2.0,6.5,7.097114e-08
2.0,7.0,7.129863e-08
2.0,7.5,7.211217e-08
2.0,8.0,7.182189e-08
2.0,8.5,7.168581e-08
2.0,9.0,7.152651e-08
2.0,9.5,7.118769e-08
2.0,10.0,7.087737e-08
3.0,0.0,1.826719e-06
3.0,0.5,0.0006989175
3.0,1.0,0.0007054898
3.0,1.5,0.0007086121
3.0,2.0,0.000710772
3.0,2.5,0.000785611
3.0,3.0,0.0007890433
3.0,3.5,0.0007154005
3.0,4.0,0.000785246
3.0,4.5,0.0007173829
3.0,5.0,0.0007185053
3.0,5.5,0.0007710569
3.0,6.0,0.0007203792
3.0,6.5,0.0007212643
3.0,7.0,0.000722048
3.0,7.5,0.0007228735
3.0,8.0,0.000723688
3.0,8.5,0.0007518186
3.0,9.0,0.0007252902
3.0,9.5,0.0007260308
3.0,10.0,0.0007290607
4.0,0.0,0.0002678114
4.0,0.5,0.6247999
4.0,1.0,0.7370998
4.0,1.5,0.749806
4.0,2.0,0.7556243
4.0,2.5,0.7601916
4.0,3.0,0.7644429
4.0,3.5,0.7688965
4.0,4.0,0.7733369
4.0,4.5,0.7776414
4.0,5.0,0.7823423
4.0,5.5,0.7876229
4.0,6.0,0.7930211
4.0,6.5,0.7985638
4.0,7.0,0.8042516
4.0,7.5,0.8101539
4.0,8.0,0.8163081
4.0,8.5,0.8234434
4.0,9.0,0.8308131
4.0,9.5,0.8380483
4.0,10.0,0.8456367
5.0,0.0,-1.01475e-07
5.0,0.5,0.9997356
5.0,1.0,0.999778
5.0,1.5,0.999801
5.0,2.0,0.999854
5.0,2.5,0.9997285
5.0,3.0,0.9997153
5.0,3.5,0.9997377
5.0,4.0,0.9997265
5.0,4.5,0.9997299
5.0,5.0,0.9997373
5.0,5.5,0.9997251
5.0,6.0,0.9997554
5.0,6.5,0.999738
5.0,7.0,0.9997459
5.0,7.5,0.9997565
5.0,8.0,0.9997547
5.0,8.5,0.9997661
5.0,9.0,0.9997699
5.0,9.5,0.9997624
5.0,10.0,0.9997772
6.0,0.0,-1.205413e-05
6.0,0.5,0.999733
6.0,1.0,0.9997641
6.0,1.5,0.9998005
6.0,2.0,0.9998516
6.0,2.5,0.9997029
6.0,3.0,0.9997182
6.0,3.5,0.9997392
6.0,4.0,0.9997137
6.0,4.5,0.9997281
6.0,5.0,0.999734
6.0,5.5,0.9997457
6.0,6.0,0.9997336
6.0,6.5,0.9997472
6.0,7.0,0.9997493
6.0,7.5,0.9997517
6.0,8.0,0.9997527
6.0,8.5,0.9997668
6.0,9.0,0.999762
6.0,9.5,0.9997528
6.0,10.0,0.9997688
7.0,0.0,-4.84738e-06
7.0,0.5,0.9997217
7.0,1.0,0.9997655
7.0,1.5,0.9998104
7.0,2.0,0.999828
7.0,2.5,0.9997249
7.0,3.0,0.9997283
7.0,3.5,0.9997309
7.0,4.0,0.9997296
7.0,4.5,0.9997331
7.0,5.0,0.9997576
7.0,5.5,0.9997356
7.0,6.0,0.9997525
7.0,6.5,0.9997565
7.0,7.0,0.9997688
7.0,7.5,0.9997555
7.0,8.0,0.9997519
7.0,8.5,0.9997562
7.0,9.0,0.9997591
7.0,9.5,0.9997613
7.0,10.0,0.9997573
8.0,0.0,-5.048175e-06
8.0,0.5,0.9997218
8.0,1.0,0.9997607
8.0,1.5,0.9997973
8.0,2.0,0.9998338
8.0,2.5,0.9997248
8.0,3.0,0.9997199
8.0,3.5,0.9997168
8.0,4.0,0.9997296
8.0,4.5,0.9997352
8.0,5.0,0.9997216
8.0,5.5,0.9997369
8.0,6.0,0.9997361
8.0,6.5,0.9997582
8.0,7.0,0.9997463
8.0,7.5,0.9997385
8.0,8.0,0.9997384
8.0,8.5,0.9997514
8.0,9.0,0.9997704
8.0,9.5,0.9997588
8.0,10.0,0.9997656
9.0,0.0,-1.42825e-05
9.0,0.5,0.9997362
9.0,1.0,0.9997576
9.0,1.5,0.9998045
9.0,2.0,0.9998401
9.0,2.5,0.9997114
9.0,3.0,0.9997072
9.0,3.5,0.9997295
9.0,4.0,0.9997123
9.0,4.5,0.9997239
9.0,5.0,0.999746
9.0,5.5,0.9997306
9.0,6.0,0.9997424
9.0,6.5,0.9997339
9.0,7.0,0.9997432
9.0,7.5,0.999746
9.0,8.0,0.9997602
9.0,8.5,0.9997442
9.0,9.0,0.9997591
9.0,9.5,0.99977
9.0,10.0,0.9997745
10.0,0.0,-3.378177e-05
10.0,0.5,0.9997076
10.0,1.0,0.999765
10.0,1.5,0.9997934
10.0,2.0,0.9998199
10.0,2.5,0.9997201
10.0,3.0,0.9997072
10.0,3.5,0.9997175
10.0,4.0,0.9997163
10.0,4.5,0.9997309
10.0,5.0,0.9997367
10.0,5.5,0.9997392
10.0,6.0,0.9997329
10.0,6.5,0.999741
10.0,7.0,0.9997194
10.0,7.5,0.9997557
10.0,8.0,0.9997475
10.0,8.5,0.9997529
10.0,9.0,0.9997439
10.0,9.5,0.9997511
10.0,10.0,0.999757
