Vgs(V),Vds(V),Id(A)
0.0,0.0,1.391111e-10
0.0,0.5,8.761141e-10
0.0,1.0,1.200242e-09
0.0,1.5,1.669447e-09
0.0,2.0,2.653447e-09
0.0,2.5,3.605671e-09
0.0,3.0,3.613597e-09
0.0,3.5,3.723352e-09
0.0,4.0,3.713471e-09
0.0,4.5,3.78547e-09
0.0,5.0,3.776036e-09
0.0,5.5,3.77938e-09
0.0,6.0,3.816498e-09
0.0,6.5,3.861488e-09
0.0,7.0,3.866187e-09
0.0,7.5,3.88065e-09
0.0,8.0,3.884297e-09
0.0,8.5,3.861342e-09
0.0,9.0,3.852771e-09
0.0,9.5,3.861138e-09
0.0,10.0,3.83046e-09
1.0,0.0,6.716849e-15
1.0,0.5,1.547665e-09
1.0,1.0,1.958349e-09
1.0,1.5,2.259475e-09
1.0,2.0,2.540097e-09
1.0,2.5,2.999382e-09
1.0,3.0,3.909284e-09
1.0,3.5,4.773258e-09
1.0,4.0,4.767774e-09
1.0,4.5,4.922574e-09
1.0,5.0,4.979699e-09
1.0,5.5,4.946075e-09
1.0,6.0,4.860215e-09
1.0,6.5,4.992165e-09
1.0,7.0,4.95397e-09
1.0,7.5,4.961943e-09
1.0,8.0,4.985985e-09
1.0,8.5,4.953515e-09
1.0,9.0,5.003947e-09
1.0,9.5,4.90587e-09
1.0,10.0,4.849646e-09
2.0,0.0,-1.049889e-06
2.0,0.5,3.105035e-07
2.0,1.0,3.120053e-07
2.0,1.5,3.132242e-07
2.0,2.0,3.141956e-07
2.0,2.5,3.150805e-07
2.0,3.0,3.163067e-07
2.0,3.5,3.169352e-07
2.0,4.0,3.184068e-07
2.0,4.5,3.198375e-07
2.0,5.0,3.204553e-07
2.0,5.5,3.211213e-07
2.0,6.0,3.21697e-07
2.0,6.5,3.223166e-07
2.0,7.0,3.229244e-07
2.0,7.5,3.235312e-07
2.0,8.0,3.24126e-07
2.0,8.5,3.246867e-07
2.0,9.0,3.252464e-07
2.0,9.5,3.257973e-07
2.0,10.0,3.263606e-07
3.0,0.0,1.895959e-06
3.0,0.5,0.0006222132
3.0,1.0,0.0006280925
3.0,1.5,0.0006317174
3.0,2.0,0.0006346112
3.0,2.5,0.0007054994
3.0,3.0,0.000700275
3.0,3.5,0.0007054874
3.0,4.0,0.0007015108
3.0,4.5,0.0006627488
3.0,5.0,0.0006476717
3.0,5.5,0.0006495415
3.0,6.0,0.0006513928
3.0,6.5,0.0006532611
3.0,7.0,0.0006551539
3.0,7.5,0.0006570678
3.0,8.0,0.0006588838
3.0,8.5,0.0006607429
3.0,9.0,0.0006626677
3.0,9.5,0.0006644945
3.0,10.0,0.0006663197
4.0,0.0,0.0004005299
4.0,0.5,0.3525612
4.0,1.0,0.3613528
4.0,1.5,0.3642218
4.0,2.0,0.3663159
4.0,2.5,0.3681662
4.0,3.0,0.3699083
4.0,3.5,0.3716299
4.0,4.0,0.3733869
4.0,4.5,0.3752429
4.0,5.0,0.3771312
4.0,5.5,0.3790465
4.0,6.0,0.3810106
4.0,6.5,0.3831879
4.0,7.0,0.385379
4.0,7.5,0.3876116
4.0,8.0,0.389887
4.0,8.5,0.3923113
4.0,9.0,0.3947728
4.0,9.5,0.3975457
4.0,10.0,0.400377
5.0,0.0,2.558659e-05
5.0,0.5,0.9997454
5.0,1.0,0.9997594
5.0,1.5,0.9997967
5.0,2.0,0.9998211
5.0,2.5,0.9997177
5.0,3.0,0.9997116
5.0,3.5,0.9997318
5.0,4.0,0.9997095
5.0,4.5,0.9997207
5.0,5.0,0.9997248
5.0,5.5,0.9997346
5.0,6.0,0.9997377
5.0,6.5,0.9997408
5.0,7.0,0.9997393
5.0,7.5,0.9997522
