Vgs(V),Vds(V),Id(A)
0.0,0.0,1.144439e-11
0.0,0.5,1.080831e-08
0.0,1.0,1.553764e-08
0.0,1.5,1.932537e-08
0.0,2.0,2.263282e-08
0.0,2.5,2.557619e-08
0.0,3.0,2.826079e-08
0.0,3.5,3.077732e-08
0.0,4.0,3.313085e-08
0.0,4.5,3.538079e-08
0.0,5.0,3.748576e-08
0.0,5.5,3.943178e-08
0.0,6.0,4.141988e-08
0.0,6.5,4.335592e-08
0.0,7.0,4.52173e-08
0.0,7.5,4.69959e-08
0.0,8.0,4.865942e-08
0.0,8.5,5.053218e-08
0.0,9.0,5.225783e-08
0.0,9.5,5.380939e-08
0.0,10.0,5.534186e-08
1.0,0.0,-1.029191e-09
1.0,0.5,1.069419e-08
1.0,1.0,1.547533e-08
1.0,1.5,1.915054e-08
1.0,2.0,2.251295e-08
1.0,2.5,2.539992e-08
1.0,3.0,2.816529e-08
1.0,3.5,3.050464e-08
1.0,4.0,3.272142e-08
1.0,4.5,3.49649e-08
1.0,5.0,3.749545e-08
1.0,5.5,3.964054e-08
1.0,6.0,4.142631e-08
1.0,6.5,4.328511e-08
1.0,7.0,4.512363e-08
1.0,7.5,4.692705e-08
1.0,8.0,4.870017e-08
1.0,8.5,5.040437e-08
1.0,9.0,5.21043e-08
1.0,9.5,5.375281e-08
1.0,10.0,5.537455e-08
2.0,0.0,-7.896893e-10
2.0,0.5,1.067201e-08
2.0,1.0,1.53651e-08
2.0,1.5,1.917794e-08
2.0,2.0,2.248266e-08
2.0,2.5,2.540261e-08
2.0,3.0,2.815072e-08
2.0,3.5,3.064619e-08
2.0,4.0,3.29983e-08
2.0,4.5,3.518327e-08
2.0,5.0,3.733939e-08
2.0,5.5,3.937731e-08
2.0,6.0,4.140646e-08
2.0,6.5,4.328405e-08
2.0,7.0,4.513469e-08
2.0,7.5,4.691946e-08
2.0,8.0,4.86919e-08
2.0,8.5,5.039034e-08
2.0,9.0,5.205258e-08
2.0,9.5,5.371215e-08
2.0,10.0,5.533678e-08
3.0,0.0,-9.610338e-10
3.0,0.5,1.071805e-08
3.0,1.0,1.54222e-08
3.0,1.5,1.918956e-08
3.0,2.0,2.247967e-08
3.0,2.5,2.539613e-08
3.0,3.0,2.809472e-08
3.0,3.5,3.06105e-08
3.0,4.0,3.294915e-08
3.0,4.5,3.5175e-08
3.0,5.0,3.72816e-08
3.0,5.5,3.934209e-08
3.0,6.0,4.131162e-08
3.0,6.5,4.32127e-08
3.0,7.0,4.507396e-08
3.0,7.5,4.685484e-08
3.0,8.0,4.860509e-08
3.0,8.5,5.031638e-08
3.0,9.0,5.198826e-08
3.0,9.5,5.360044e-08
3.0,10.0,5.519454e-08
4.0,0.0,-1.03902e-09
4.0,0.5,1.357566e-08
4.0,1.0,1.823858e-08
4.0,1.5,2.203092e-08
4.0,2.0,2.53196e-08
4.0,2.5,2.82664e-08
4.0,3.0,3.101198e-08
4.0,3.5,3.346414e-08
4.0,4.0,3.58142e-08
4.0,4.5,3.802191e-08
4.0,5.0,4.016506e-08
4.0,5.5,4.220156e-08
4.0,6.0,4.416991e-08
4.0,6.5,4.606217e-08
4.0,7.0,4.792675e-08
4.0,7.5,4.972594e-08
4.0,8.0,5.145215e-08
4.0,8.5,5.316631e-08
4.0,9.0,5.483071e-08
4.0,9.5,5.646463e-08
4.0,10.0,5.805728e-08
5.0,0.0,-1.166656e-09
5.0,0.5,7.456976e-07
5.0,1.0,7.503663e-07
5.0,1.5,7.54075e-07
5.0,2.0,7.573126e-07
5.0,2.5,7.599591e-07
5.0,3.0,7.626765e-07
5.0,3.5,7.651644e-07
5.0,4.0,7.674743e-07
5.0,4.5,7.696496e-07
5.0,5.0,7.717722e-07
5.0,5.5,7.738235e-07
5.0,6.0,7.758229e-07
5.0,6.5,7.777e-07
5.0,7.0,7.795049e-07
5.0,7.5,7.813032e-07
5.0,8.0,7.830651e-07
5.0,8.5,7.847472e-07
5.0,9.0,7.86382e-07
5.0,9.5,7.880058e-07
5.0,10.0,7.895943e-07
6.0,0.0,2.201821e-10
6.0,0.5,0.000326206
6.0,1.0,0.0003430831
6.0,1.5,0.0003431259
6.0,2.0,0.0003431321
6.0,2.5,0.0003431278
6.0,3.0,0.0003431359
6.0,3.5,0.0003431425
6.0,4.0,0.0003431442
6.0,4.5,0.0003431238
6.0,5.0,0.0003431464
6.0,5.5,0.000343159
6.0,6.0,0.0003431553
6.0,6.5,0.0003431795
6.0,7.0,0.0003431784
6.0,7.5,0.0003432098
6.0,8.0,0.0003432184
6.0,8.5,0.0003432406
6.0,9.0,0.0003432543
6.0,9.5,0.0003432826
6.0,10.0,0.0003433055
7.0,0.0,1.501683e-09
7.0,0.5,0.001643349
7.0,1.0,0.1083941
7.0,1.5,0.111576
7.0,2.0,0.112008
7.0,2.5,0.1123632
7.0,3.0,0.1127411
7.0,3.5,0.1130988
7.0,4.0,0.1134584
7.0,4.5,0.1138235
7.0,5.0,0.1141941
7.0,5.5,0.1145837
7.0,6.0,0.1149851
7.0,6.5,0.1153987
7.0,7.0,0.1158047
7.0,7.5,0.1162236
7.0,8.0,0.1166666
7.0,8.5,0.1171454
7.0,9.0,0.1176333
7.0,9.5,0.1181121
7.0,10.0,0.1186128
8.0,0.0,1.662028e-09
8.0,0.5,0.001728665
8.0,1.0,0.386161
8.0,1.5,0.9998166
8.0,2.0,0.9998397
8.0,2.5,0.9996969
8.0,3.0,0.9997351
8.0,3.5,0.9997159
8.0,4.0,0.9997285
8.0,4.5,0.9997333
8.0,5.0,0.9997321
8.0,5.5,0.9997408
8.0,6.0,0.9997441
8.0,6.5,0.9997289
8.0,7.0,0.9997439
8.0,7.5,0.9997387
8.0,8.0,0.9997568
8.0,8.5,0.9997556
8.0,9.0,0.9997491
8.0,9.5,0.9997725
8.0,10.0,0.9997525
9.0,0.0,1.690955e-10
9.0,0.5,0.001802641
9.0,1.0,0.4164687
9.0,1.5,0.9998001
9.0,2.0,0.9998271
9.0,2.5,0.9996965
9.0,3.0,0.9997351
9.0,3.5,0.9997163
9.0,4.0,0.9997137
9.0,4.5,0.9997146
9.0,5.0,0.9997283
9.0,5.5,0.9997407
9.0,6.0,0.9997374
9.0,6.5,0.9997385
9.0,7.0,0.9997441
9.0,7.5,0.9997416
9.0,8.0,0.9997525
9.0,8.5,0.9997618
9.0,9.0,0.9997602
9.0,9.5,0.9997549
9.0,10.0,0.9997573
10.0,0.0,-2.943696e-10
10.0,0.5,0.001862745
10.0,1.0,0.4294283
10.0,1.5,0.9997903
10.0,2.0,0.9998235
10.0,2.5,0.9997014
10.0,3.0,0.9997111
10.0,3.5,0.9997294
10.0,4.0,0.9997254
10.0,4.5,0.9997174
10.0,5.0,0.9997194
10.0,5.5,0.9997168
10.0,6.0,0.9997411
10.0,6.5,0.9997204
10.0,7.0,0.9997328
10.0,7.5,0.9997604
10.0,8.0,0.9997498
10.0,8.5,0.9997426
10.0,9.0,0.9997457
10.0,9.5,0.9997498
10.0,10.0,0.9997554
